study_id,first_author,year,doi,title,randomized,design,nutrition_controlled,control_condition,bfr_condition,concurrent_training,uncontrolled_training,standardized_training,washout_period,reduced_training_weeks,no_training_weeks,supplementation
rosales2018a,Rosales,2018,10.5555/toy.rosales2018a,Training to failure versus stopping short: effects on hypertrophy and strength: a 10-week trial in untrained men and women,Yes,Parallel Group,Unclear,Yes,No,No,No,No,No,No,No,No
lindqvist2010a,Lindqvist,2010,10.5555/toy.lindqvist2010a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 10-week trial in older men and women,Yes,Parallel Group,Yes,Yes,No,No,No,No,No,No,No,No
quinlan2011a,Quinlan,2011,10.5555/toy.quinlan2011a,Dose-response effects of weekly set volume on muscle growth and strength: a 14-week trial in untrained men,Yes,Parallel Group,Unclear,Yes,No,No,No,No,No,No,No,No
delacroix2018a,Delacroix,2018,10.5555/toy.delacroix2018a,Dose-response effects of weekly set volume on muscle growth and strength: a 9-week trial in resistance-trained men,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,Yes,No
moreau2010a,Moreau,2010,10.5555/toy.moreau2010a,Training to failure versus stopping short: effects on hypertrophy and strength: a 9-week trial in untrained men and women,Yes,Within-Participant Unilateral,Unclear,No,No,No,No,No,No,No,No,No
jansen2011a,Jansen,2011,10.5555/toy.jansen2011a,Training to failure versus stopping short: effects on hypertrophy and strength: a 14-week trial in resistance-trained men,Yes,Parallel Group,No,Yes,No,No,No,No,No,No,No,No
varga2015a,Varga,2015,10.5555/toy.varga2015a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 8-week trial in resistance-trained men,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,No,Yes
fairbanks2004a,Fairbanks,2004,10.5555/toy.fairbanks2004a,Volume-equated training frequency and muscular adaptations: a 13-week trial in resistance-trained women,Yes,Parallel Group,No,Yes,No,No,No,No,No,Yes,Yes,No
jansen2021a,Jansen,2021,10.5555/toy.jansen2021a,Training to failure versus stopping short: effects on hypertrophy and strength: a 13-week trial in untrained men,Yes,Parallel Group,Yes,No,No,No,No,No,No,No,No,No
gallardo2024a,Gallardo,2024,10.5555/toy.gallardo2024a,Volume-equated training frequency and muscular adaptations: a 14-week trial in older men and women,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,No,No
mwangi2026a,Mwangi,2026,10.5555/toy.mwangi2026a,Dose-response effects of weekly set volume on muscle growth and strength: a 8-week trial in resistance-trained men,No,Parallel Group,No,No,No,No,No,Yes,No,No,No,No
petrakis2016a,Petrakis,2016,10.5555/toy.petrakis2016a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 8-week trial in untrained men,Yes,Parallel Group,Unclear,Yes,No,No,No,No,No,No,Yes,Yes
ekberg2013b,Ekberg,2013,10.5555/toy.ekberg2013b,Training to failure versus stopping short: effects on hypertrophy and strength: a 9-week trial in older men and women,Yes,Parallel Group,Unclear,Yes,No,No,No,No,No,No,No,Yes
brennan2019a,Brennan,2019,10.5555/toy.brennan2019a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 13-week trial in untrained men,Yes,Parallel Group,No,No,No,No,No,No,No,No,Yes,No
haugen2014a,Haugen,2014,10.5555/toy.haugen2014a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 8-week trial in resistance-trained women,Yes,Within-Participant Unilateral,Yes,No,No,No,No,No,No,No,No,No
petrakis2018a,Petrakis,2018,10.5555/toy.petrakis2018a,Training to failure versus stopping short: effects on hypertrophy and strength: a 10-week trial in resistance-trained men and women,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,No,No
delacroix2014a,Delacroix,2014,10.5555/toy.delacroix2014a,Volume-equated training frequency and muscular adaptations: a 9-week trial in untrained men and women,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,No,No
rahimi2020a,Rahimi,2020,10.5555/toy.rahimi2020a,Volume-equated training frequency and muscular adaptations: a 14-week trial in resistance-trained men and women,Yes,Parallel Group,No,No,No,No,No,No,No,No,No,Yes
kaur2025a,Kaur,2025,10.5555/toy.kaur2025a,Dose-response effects of weekly set volume on muscle growth and strength: a 11-week trial in resistance-trained men,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,No,Yes
yilmaz2003a,Yilmaz,2003,10.5555/toy.yilmaz2003a,Dose-response effects of weekly set volume on muscle growth and strength: a 9-week trial in untrained men,Yes,Parallel Group,Yes,No,No,No,No,No,No,No,No,Yes
abernathy2011a,Abernathy,2011,10.5555/toy.abernathy2011a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 10-week trial in resistance-trained men and women,Yes,Parallel Group,No,No,No,No,Yes,No,No,No,No,No
