arm_id,measure_id,week_high,week_low,n_diff,mean_diff,sd_diff,se_diff,ci_level_diff,ci_low_diff,ci_high_diff,t_value_diff,p_value_diff,flag_relative_difference,flag_standardized_difference
delacroix2022a_ml,delacroix2022a_m03,17,0,16,0.78,,,95,-1.29,2.85,,,No,No
delacroix2022a_ll,delacroix2022a_m01,17,0,12,31.46,,,,,,,4.6e-4,No,No
delacroix2022a_ll,delacroix2022a_m02,17,0,12,0.66,2.06,,,,,,,No,No
delacroix2022a_ll,delacroix2022a_m03,17,0,12,0.53,,,,,,,0.67,No,No
hartley2008a_fail,hartley2008a_m01,17,0,22,29.73,,,95,20.39,39.07,,,No,No
hartley2008a_fail,hartley2008a_m02,17,0,22,1.6,2.46,,,,,,,No,No
hartley2008a_fail,hartley2008a_m03,17,0,22,1.32,,,95,0.17,2.47,,,No,No
hartley2008a_fail,hartley2008a_m04,17,0,22,1.71,,,,,,,0.027,No,No
hartley2008a_fail,hartley2008a_m05,17,0,22,-1.49,,,,,,,0.14,No,No
hartley2008a_rir3,hartley2008a_m01,17,0,12,28.84,,,,,,,6.6e-4,No,No
hartley2008a_rir3,hartley2008a_m02,17,0,12,0.83,2.32,,,,,,,No,No
hartley2008a_rir3,hartley2008a_m03,17,0,12,0.29,2.58,,,,,,,No,No
hartley2008a_rir3,hartley2008a_m04,17,0,12,1.39,,,,,,,0.17,No,No
hartley2008a_rir3,hartley2008a_m05,17,0,12,-0.43,4.45,,,,,,,No,No
ishikawa2013a_f1,ishikawa2013a_m01,13,0,12,1.4,,,,,,,0.22,No,No
ishikawa2013a_f1,ishikawa2013a_m02,13,0,12,32.99,,,,,,,1e-4,No,No
ishikawa2013a_f1,ishikawa2013a_m03,13,0,12,1.89,,,,,,,0.035,No,No
ishikawa2013a_f3,ishikawa2013a_m01,13,0,15,1.96,3.9,,,,,,,No,No
ishikawa2013a_f3,ishikawa2013a_m02,13,0,15,30.83,,,,,,,1e-4,No,No
ishikawa2013a_f3,ishikawa2013a_m03,13,0,15,1.55,,,,,,,0.074,No,No
yilmaz2005a_f1,yilmaz2005a_m01,12,0,19,2.15,2.84,,,,,,,No,No
yilmaz2005a_f1,yilmaz2005a_m02,12,0,19,9.22,,,,,,,1e-4,No,No
yilmaz2005a_f1,yilmaz2005a_m03,12,0,19,1.71,2.63,,,,,,,No,No
yilmaz2005a_f3,yilmaz2005a_m01,12,0,18,3.32,,,,,,,1.1e-4,No,No
yilmaz2005a_f3,yilmaz2005a_m02,12,0,18,8.03,,,,,,,1e-4,No,No
yilmaz2005a_f3,yilmaz2005a_m03,12,0,18,1.47,,,,,,,0.038,No,No
petrakis2007a_2set,petrakis2007a_m01,9,0,11,42.19,,,,,,,0.0018,No,No
petrakis2007a_2set,petrakis2007a_m02,9,0,11,1.98,,,95,-1.27,5.23,,,No,No
petrakis2007a_2set,petrakis2007a_m03,9,0,11,1.1,,,,,,,0.039,No,No
petrakis2007a_2set,petrakis2007a_m04,9,0,11,2.67,3.62,,,,,,,No,No
petrakis2007a_5set,petrakis2007a_m01,9,0,11,39.5,35.82,,,,,,,No,No
petrakis2007a_5set,petrakis2007a_m02,9,0,11,5.29,,,95,2.47,8.12,,,No,No
petrakis2007a_5set,petrakis2007a_m03,9,0,11,0.98,1.68,,,,,,,No,No
petrakis2007a_5set,petrakis2007a_m04,9,0,11,3.36,,,95,0.87,5.86,,,No,No
laurent2024a_fail,laurent2024a_m01,11,0,12,59.81,,,,,,,1e-4,No,No
laurent2024a_fail,laurent2024a_m02,11,0,12,2.17,2.74,,,,,,,No,No
laurent2024a_fail,laurent2024a_m03,11,0,12,2.31,3.11,,,,,,,No,No
laurent2024a_fail,laurent2024a_m04,11,0,12,735.78,,,,,,,0.021,No,No
laurent2024a_rir3,laurent2024a_m01,11,0,8,30.71,,,,,,,0.023,No,No
laurent2024a_rir3,laurent2024a_m02,11,0,8,1.29,2.62,,,,,,,No,No
laurent2024a_rir3,laurent2024a_m03,11,0,8,3.53,3.24,,,,,,,No,No
laurent2024a_rir3,laurent2024a_m04,11,0,8,493.12,837.35,,,,,,,No,No
yilmaz1999a_2set,yilmaz1999a_m01,13,0,13,0.46,2.5,,,,,,,No,No
yilmaz1999a_2set,yilmaz1999a_m02,13,0,13,-0.56,,,,,,,0.52,No,No
yilmaz1999a_2set,yilmaz1999a_m03,13,0,13,-2.02,,,,,,,0.034,No,No
yilmaz1999a_2set,yilmaz1999a_m04,13,0,13,0.77,,,95,-1.05,2.58,,,No,No
yilmaz1999a_2set,yilmaz1999a_m05,13,0,13,-1.3,4.79,,,,,,,No,No
yilmaz1999a_5set,yilmaz1999a_m01,13,0,10,1.15,,,,,,,0.18,No,No
yilmaz1999a_5set,yilmaz1999a_m02,13,0,10,0.98,3.27,,,,,,,No,No
yilmaz1999a_5set,yilmaz1999a_m03,13,0,10,1.63,,,95,-0.77,4.02,,,No,No
yilmaz1999a_5set,yilmaz1999a_m04,13,0,10,1.28,,,95,-1.01,3.56,,,No,No
yilmaz1999a_5set,yilmaz1999a_m05,13,0,10,-2.62,,,,,,,0.096,No,No
rosales2018a_fail,rosales2018a_m01,11,0,18,15.96,,,95,11.73,20.18,,,No,No
rosales2018a_fail,rosales2018a_m02,11,0,18,2.51,,,,,,,0.0011,No,No
rosales2018a_fail,rosales2018a_m03,11,0,18,1.18,1.41,,,,,,,No,No
rosales2018a_fail,rosales2018a_m04,11,0,18,24.29,,,95,18.34,30.23,,,No,No
rosales2018a_fail,rosales2018a_m05,11,0,18,3.27,3.85,,,,,,,No,No
rosales2018a_fail,rosales2018a_m06,11,0,18,2.22,,,95,0.22,4.21,,,No,No
rosales2018a_rir1,rosales2018a_m01,11,0,13,17.85,,,,,,,1e-4,No,No
rosales2018a_rir1,rosales2018a_m02,11,0,13,1.57,,,,,,,0.062,No,No
rosales2018a_rir1,rosales2018a_m03,11,0,13,1.1,,,95,0.26,1.94,,,No,No
rosales2018a_rir1,rosales2018a_m04,11,0,13,31.53,,,,,,,1e-4,No,No
rosales2018a_rir1,rosales2018a_m05,11,0,13,2.76,,,95,0.47,5.05,,,No,No
rosales2018a_rir1,rosales2018a_m06,11,0,13,-0.3,,,,,,,0.78,No,No
rosales2018a_rir3,rosales2018a_m01,11,0,20,14.73,,,95,11.05,18.41,,,No,No
rosales2018a_rir3,rosales2018a_m02,11,0,20,2.44,,,,,,,3.5e-4,No,No
rosales2018a_rir3,rosales2018a_m03,11,0,20,1.67,,,,,,,1e-4,No,No
rosales2018a_rir3,rosales2018a_m04,11,0,20,22.36,,,,,,,1e-4,No,No
rosales2018a_rir3,rosales2018a_m05,11,0,20,2.2,3.7,,,,,,,No,No
rosales2018a_rir3,rosales2018a_m06,11,0,20,0.44,,,95,-1.3,2.19,,,No,No
rosales2018a_con,rosales2018a_m01,11,0,22,0.19,,,,,,,0.91,No,No
rosales2018a_con,rosales2018a_m02,11,0,22,-0.4,2.69,,,,,,,No,No
rosales2018a_con,rosales2018a_m03,11,0,22,-0.44,1.4,,,,,,,No,No
rosales2018a_con,rosales2018a_m04,11,0,22,0.89,12.4,,,,,,,No,No
rosales2018a_con,rosales2018a_m05,11,0,22,1.27,,,95,-0.32,2.87,,,No,No
rosales2018a_con,rosales2018a_m06,11,0,22,-0.54,,,,,,,0.51,No,No
lindqvist2010a_hl,lindqvist2010a_m01,11,0,9,2.03,2.82,,,,,,,No,No
lindqvist2010a_hl,lindqvist2010a_m02,11,0,9,8.51,,,,,,,0.0031,No,No
lindqvist2010a_hl,lindqvist2010a_m03,11,0,9,1.86,,,,,,,0.059,No,No
lindqvist2010a_hl,lindqvist2010a_m04,11,0,9,0.41,,,,,,,0.59,No,No
lindqvist2010a_hl,lindqvist2010a_m05,11,0,9,0.95,3.59,,,,,,,No,No
lindqvist2010a_hl,lindqvist2010a_m06,11,0,9,1.05,,,,,,,0.46,No,No
lindqvist2010a_ll,lindqvist2010a_m01,11,0,19,0.83,,,,,,,0.25,No,No
lindqvist2010a_ll,lindqvist2010a_m02,11,0,19,4.92,5.96,,,,,,,No,No
lindqvist2010a_ll,lindqvist2010a_m03,11,0,19,1.25,,,,,,,0.071,No,No
lindqvist2010a_ll,lindqvist2010a_m04,11,0,19,0.59,,,95,-0.42,1.59,,,No,No
lindqvist2010a_ll,lindqvist2010a_m05,11,0,19,1.47,,,,,,,0.14,No,No
lindqvist2010a_ll,lindqvist2010a_m06,11,0,19,-2.75,,,,,,,0.0062,No,No
lindqvist2010a_con,lindqvist2010a_m01,11,0,9,-1.09,2.9,,,,,,,No,No
lindqvist2010a_con,lindqvist2010a_m02,11,0,9,2.11,,,,,,,0.32,No,No
lindqvist2010a_con,lindqvist2010a_m03,11,0,9,0.97,2.49,,,,,,,No,No
lindqvist2010a_con,lindqvist2010a_m04,11,0,9,-0.61,,,,,,,0.48,No,No
lindqvist2010a_con,lindqvist2010a_m05,11,0,9,2.46,,,95,-0.3,5.21,,,No,No
lindqvist2010a_con,lindqvist2010a_m06,11,0,9,-1.62,,,,,,,0.24,No,No
moreau2010a_fail,moreau2010a_m01,10,0,19,40.03,,,95,26.07,53.98,,,No,No
moreau2010a_fail,moreau2010a_m02,10,0,19,188.12,,,,,,,0.32,No,No
moreau2010a_rir3,moreau2010a_m01,10,0,19,48.88,29.24,,,,,,,No,No
moreau2010a_rir3,moreau2010a_m02,10,0,19,636.97,,,95,287.96,985.97,,,No,No
gallardo2024a_f1,gallardo2024a_m01,15,0,20,31.6,,,95,22.88,40.33,,,No,No
gallardo2024a_f1,gallardo2024a_m02,15,0,20,7.88,5.84,,,,,,,No,No
gallardo2024a_f1,gallardo2024a_m03,15,0,20,1.45,2.77,,,,,,,No,No
gallardo2024a_f1,gallardo2024a_m04,15,0,20,4.13,3.08,,,,,,,No,No
gallardo2024a_f3,gallardo2024a_m01,15,0,21,30.85,,,,,,,1e-4,No,No
gallardo2024a_f3,gallardo2024a_m02,15,0,21,9.21,6.09,,,,,,,No,No
gallardo2024a_f3,gallardo2024a_m03,15,0,21,0.92,,,95,-0.39,2.22,,,No,No
gallardo2024a_f3,gallardo2024a_m04,15,0,21,5.33,2.96,,,,,,,No,No
petrakis2016a_hl,petrakis2016a_m01,10,0,21,51.81,,,95,39.62,64,,,No,No
petrakis2016a_hl,petrakis2016a_m02,10,0,21,1.1,,,95,-1.04,3.24,,,No,No
petrakis2016a_hl,petrakis2016a_m03,10,0,21,1.24,,,,,,,0.029,No,No
petrakis2016a_hl,petrakis2016a_m04,10,0,21,24.12,13.97,,,,,,,No,No
petrakis2016a_hl,petrakis2016a_m05,10,0,21,3.11,,,,,,,1.7e-4,No,No
petrakis2016a_ml,petrakis2016a_m01,10,0,10,45.58,25.82,,,,,,,No,No
petrakis2016a_ml,petrakis2016a_m02,10,0,10,3.23,,,,,,,0.051,No,No
petrakis2016a_ml,petrakis2016a_m03,10,0,10,0.76,,,95,-0.94,2.46,,,No,No
petrakis2016a_ml,petrakis2016a_m04,10,0,10,25.17,14.14,,,,,,,No,No
petrakis2016a_ml,petrakis2016a_m05,10,0,10,0.1,3.3,,,,,,,No,No
petrakis2016a_ll,petrakis2016a_m01,10,0,13,28.15,,,95,13.52,42.79,,,No,No
petrakis2016a_ll,petrakis2016a_m02,10,0,13,1.99,4.35,,,,,,,No,No
petrakis2016a_ll,petrakis2016a_m03,10,0,13,1.56,,,95,0.13,2.99,,,No,No
petrakis2016a_ll,petrakis2016a_m04,10,0,13,10.88,13.59,,,,,,,No,No
petrakis2016a_ll,petrakis2016a_m05,10,0,13,4.11,3.65,,,,,,,No,No
petrakis2016a_con,petrakis2016a_m01,10,0,19,6.71,28.73,,,,,,,No,No
petrakis2016a_con,petrakis2016a_m02,10,0,19,2.59,,,95,0.35,4.84,,,No,No
petrakis2016a_con,petrakis2016a_m03,10,0,19,0.74,,,,,,,0.22,No,No
petrakis2016a_con,petrakis2016a_m04,10,0,19,0.35,,,95,-7.01,7.72,,,No,No
petrakis2016a_con,petrakis2016a_m05,10,0,19,1.46,,,95,-0.27,3.18,,,No,No
petrakis2018a_fail,petrakis2018a_m01,11,0,14,2.49,,,,,,,0.011,No,No
petrakis2018a_fail,petrakis2018a_m02,11,0,14,13.68,,,,,,,0.006,No,No
petrakis2018a_fail,petrakis2018a_m03,11,0,14,-0.44,,,95,-2.62,1.73,,,No,No
petrakis2018a_fail,petrakis2018a_m04,11,0,14,1.12,,,95,-0.96,3.19,,,No,No
petrakis2018a_rir3,petrakis2018a_m01,11,0,18,1.72,3.43,,,,,,,No,No
petrakis2018a_rir3,petrakis2018a_m02,11,0,18,13.69,,,,,,,5.3e-4,No,No
petrakis2018a_rir3,petrakis2018a_m03,11,0,18,1.83,3.58,,,,,,,No,No
petrakis2018a_rir3,petrakis2018a_m04,11,0,18,-1.26,4.05,,,,,,,No,No
