arm_id,measure_id,week,n,mean,sd,se
ishikawa2012a_ll,ishikawa2012a_m05,0,9,20.6,5.1,
ishikawa2012a_ll,ishikawa2012a_m05,15,9,27.5,5.22,
ishikawa2012a_ll,ishikawa2012a_m06,0,9,56.6,4.83,
ishikawa2012a_ll,ishikawa2012a_m06,15,9,58.8,4.76,
ishikawa2012a_con,ishikawa2012a_m01,0,15,6284,1295,
ishikawa2012a_con,ishikawa2012a_m01,15,15,6136,1342.9,
ishikawa2012a_con,ishikawa2012a_m02,0,15,21.1,2.58,
ishikawa2012a_con,ishikawa2012a_m02,15,15,21,2.62,
ishikawa2012a_con,ishikawa2012a_m03,0,15,40.3,9.3,
ishikawa2012a_con,ishikawa2012a_m03,15,15,41.9,9.18,
ishikawa2012a_con,ishikawa2012a_m04,0,15,42.2,5.34,
ishikawa2012a_con,ishikawa2012a_m04,15,15,43.2,5.36,
ishikawa2012a_con,ishikawa2012a_m05,0,15,21.4,5.81,
ishikawa2012a_con,ishikawa2012a_m05,15,15,20,6.38,
ishikawa2012a_con,ishikawa2012a_m06,0,15,54.4,3.86,
ishikawa2012a_con,ishikawa2012a_m06,15,15,55.4,3.94,
zielinski2018a_fail,zielinski2018a_m01,0,18,99,18.77,
zielinski2018a_fail,zielinski2018a_m01,10,18,115.7,19.96,
zielinski2018a_fail,zielinski2018a_m02,0,18,5309,1367.7,
zielinski2018a_fail,zielinski2018a_m02,10,18,5747,1429.1,
zielinski2018a_fail,zielinski2018a_m03,0,18,18.3,2.47,
zielinski2018a_fail,zielinski2018a_m03,10,18,19.3,2.7,
zielinski2018a_fail,zielinski2018a_m04,0,18,192,40.1,
zielinski2018a_fail,zielinski2018a_m04,10,18,236,39.5,
zielinski2018a_fail,zielinski2018a_m05,0,18,17.4,4.83,
zielinski2018a_fail,zielinski2018a_m05,10,18,22.6,4.73,
zielinski2018a_rir3,zielinski2018a_m01,0,18,99.2,17.67,
zielinski2018a_rir3,zielinski2018a_m01,10,18,112.3,17.3,
zielinski2018a_rir3,zielinski2018a_m02,0,18,5968,1114.6,
zielinski2018a_rir3,zielinski2018a_m02,10,18,6111,1061.2,
zielinski2018a_rir3,zielinski2018a_m03,0,18,18.8,2.45,
zielinski2018a_rir3,zielinski2018a_m03,10,18,19.2,2.41,
zielinski2018a_rir3,zielinski2018a_m04,0,18,186,41.9,
zielinski2018a_rir3,zielinski2018a_m04,10,18,220,39.9,
zielinski2018a_rir3,zielinski2018a_m05,0,18,18.1,5.46,
zielinski2018a_rir3,zielinski2018a_m05,10,18,18.7,5.48,
lindqvist2026a_2set,lindqvist2026a_m01,0,15,39,7.89,
lindqvist2026a_2set,lindqvist2026a_m01,3,15,44.3,8.08,
lindqvist2026a_2set,lindqvist2026a_m01,7,15,47.7,8.28,
lindqvist2026a_2set,lindqvist2026a_m02,0,15,4846,928.2,
lindqvist2026a_2set,lindqvist2026a_m02,3,15,4849,921.6,
lindqvist2026a_2set,lindqvist2026a_m02,7,15,5051,915,
lindqvist2026a_2set,lindqvist2026a_m03,0,15,17.3,2.66,
lindqvist2026a_2set,lindqvist2026a_m03,3,15,18,2.71,
lindqvist2026a_2set,lindqvist2026a_m03,7,15,18.4,2.77,
lindqvist2026a_2set,lindqvist2026a_m04,0,15,27.2,3.61,
lindqvist2026a_2set,lindqvist2026a_m04,3,15,27.2,3.79,
lindqvist2026a_2set,lindqvist2026a_m04,7,15,28.1,3.96,
lindqvist2026a_5set,lindqvist2026a_m01,0,21,42.2,7.72,
lindqvist2026a_5set,lindqvist2026a_m01,3,21,47.6,7.55,
lindqvist2026a_5set,lindqvist2026a_m01,7,21,52.6,7.38,
lindqvist2026a_5set,lindqvist2026a_m02,0,21,4566,1188,
lindqvist2026a_5set,lindqvist2026a_m02,3,21,5004,1165.2,
lindqvist2026a_5set,lindqvist2026a_m02,7,21,5380,1142.4,
lindqvist2026a_5set,lindqvist2026a_m03,0,21,16.9,3.09,
lindqvist2026a_5set,lindqvist2026a_m03,3,21,17.9,3.09,
lindqvist2026a_5set,lindqvist2026a_m03,7,21,18.4,3.09,
lindqvist2026a_5set,lindqvist2026a_m04,0,21,28.4,3.66,
lindqvist2026a_5set,lindqvist2026a_m04,3,21,29.6,3.61,
lindqvist2026a_5set,lindqvist2026a_m04,7,21,30.4,3.56,
jovanovic2026a_fail,jovanovic2026a_m01,0,9,36.2,7.13,
jovanovic2026a_fail,jovanovic2026a_m01,4,9,38,7.17,
jovanovic2026a_fail,jovanovic2026a_m01,9,9,39.8,7.22,
jovanovic2026a_fail,jovanovic2026a_m02,0,9,51.6,10.8,
jovanovic2026a_fail,jovanovic2026a_m02,4,9,57.5,11.33,
jovanovic2026a_fail,jovanovic2026a_m02,9,9,60.4,11.86,
jovanovic2026a_rir3,jovanovic2026a_m01,0,10,33.2,7.03,
jovanovic2026a_rir3,jovanovic2026a_m01,4,10,35.6,7.02,
jovanovic2026a_rir3,jovanovic2026a_m01,9,10,35.7,7,
jovanovic2026a_rir3,jovanovic2026a_m02,0,10,51.9,9.46,
jovanovic2026a_rir3,jovanovic2026a_m02,4,10,55.9,9.71,
jovanovic2026a_rir3,jovanovic2026a_m02,9,10,61.3,9.96,
ekberg2013a_fail,ekberg2013a_m01,0,12,257,55.5,
ekberg2013a_fail,ekberg2013a_m01,14,12,287,53.5,
ekberg2013a_fail,ekberg2013a_m02,0,12,42.4,5.08,
ekberg2013a_fail,ekberg2013a_m02,14,12,41.2,4.87,
ekberg2013a_rir3,ekberg2013a_m01,0,20,238,56,
ekberg2013a_rir3,ekberg2013a_m01,14,20,276,53.6,
ekberg2013a_rir3,ekberg2013a_m02,0,20,40.9,5.18,
ekberg2013a_rir3,ekberg2013a_m02,14,20,43.3,5.23,
ekberg2013a_con,ekberg2013a_m01,0,15,211,45.5,
ekberg2013a_con,ekberg2013a_m01,14,15,211,47.5,
ekberg2013a_con,ekberg2013a_m02,0,15,37.3,5.55,
ekberg2013a_con,ekberg2013a_m02,14,15,34.8,6.09,
iversen2023a_1set,iversen2023a_m01,0,20,5692,1214.2,
iversen2023a_1set,iversen2023a_m01,6,20,6029,1184.5,
iversen2023a_1set,iversen2023a_m01,13,20,6353,1154.7,
iversen2023a_1set,iversen2023a_m02,0,20,89.4,18.17,
iversen2023a_1set,iversen2023a_m02,6,20,97.1,17.81,
iversen2023a_1set,iversen2023a_m02,13,20,107.3,17.46,
iversen2023a_1set,iversen2023a_m03,0,20,26.6,4.38,
iversen2023a_1set,iversen2023a_m03,6,20,27.5,4.41,
iversen2023a_1set,iversen2023a_m03,13,20,28.7,4.44,
iversen2023a_1set,iversen2023a_m04,0,20,33.4,3.69,
iversen2023a_1set,iversen2023a_m04,6,20,33.9,3.83,
iversen2023a_1set,iversen2023a_m04,13,20,34.4,3.97,
iversen2023a_1set,iversen2023a_m05,0,20,17.7,5.92,
iversen2023a_1set,iversen2023a_m05,6,20,19.4,6.06,
iversen2023a_1set,iversen2023a_m05,13,20,19.9,6.2,
iversen2023a_2set,iversen2023a_m01,0,18,5546,1370.8,
iversen2023a_2set,iversen2023a_m01,6,18,5723,1400.4,
iversen2023a_2set,iversen2023a_m01,13,18,5821,1430.1,
iversen2023a_2set,iversen2023a_m02,0,18,100.4,18.02,
iversen2023a_2set,iversen2023a_m02,6,18,111.9,18.78,
iversen2023a_2set,iversen2023a_m02,13,18,118.5,19.54,
iversen2023a_2set,iversen2023a_m03,0,18,26.5,5.3,
iversen2023a_2set,iversen2023a_m03,6,18,27.1,5.19,
iversen2023a_2set,iversen2023a_m03,13,18,27.9,5.08,
iversen2023a_2set,iversen2023a_m04,0,18,32.7,4.13,
iversen2023a_2set,iversen2023a_m04,6,18,33.5,4.23,
iversen2023a_2set,iversen2023a_m04,13,18,34.8,4.34,
iversen2023a_2set,iversen2023a_m05,0,18,19,5.22,
iversen2023a_2set,iversen2023a_m05,6,18,20.8,5.24,
iversen2023a_2set,iversen2023a_m05,13,18,22.8,5.25,
iversen2023a_4set,iversen2023a_m01,0,10,5056,1284.9,
iversen2023a_4set,iversen2023a_m01,6,10,5234,1273.6,
iversen2023a_4set,iversen2023a_m01,13,10,5552,1262.2,
iversen2023a_4set,iversen2023a_m02,0,10,82.2,20.4,
iversen2023a_4set,iversen2023a_m02,6,10,92.9,20.1,
iversen2023a_4set,iversen2023a_m02,13,10,99.4,19.79,
iversen2023a_4set,iversen2023a_m03,0,10,27.7,4.92,
iversen2023a_4set,iversen2023a_m03,6,10,29.3,5.01,
iversen2023a_4set,iversen2023a_m03,13,10,29.9,5.11,
iversen2023a_4set,iversen2023a_m04,0,10,35.1,4.84,
iversen2023a_4set,iversen2023a_m04,6,10,35.6,5.03,
iversen2023a_4set,iversen2023a_m04,13,10,36.1,5.21,
iversen2023a_4set,iversen2023a_m05,0,10,18.6,5.32,
iversen2023a_4set,iversen2023a_m05,6,10,21.2,5.41,
iversen2023a_4set,iversen2023a_m05,13,10,22.9,5.51,
iversen2023a_6set,iversen2023a_m01,0,13,5019,1337.7,
iversen2023a_6set,iversen2023a_m01,6,13,5263,1367.4,
iversen2023a_6set,iversen2023a_m01,13,13,5491,1397.1,
iversen2023a_6set,iversen2023a_m02,0,13,82.3,16.46,
iversen2023a_6set,iversen2023a_m02,6,13,94.6,16.38,
iversen2023a_6set,iversen2023a_m02,13,13,105.5,16.3,
iversen2023a_6set,iversen2023a_m03,0,13,27,5.15,
iversen2023a_6set,iversen2023a_m03,6,13,28.5,5.21,
iversen2023a_6set,iversen2023a_m03,13,13,28.9,5.28,
iversen2023a_6set,iversen2023a_m04,0,13,31.3,4.85,
iversen2023a_6set,iversen2023a_m04,6,13,32.3,4.98,
iversen2023a_6set,iversen2023a_m04,13,13,33.5,5.11,
iversen2023a_6set,iversen2023a_m05,0,13,17.7,6.09,
iversen2023a_6set,iversen2023a_m05,6,13,20.6,6.09,
iversen2023a_6set,iversen2023a_m05,13,13,21.7,6.08,
iversen2023a_con,iversen2023a_m01,0,12,5798,1270.5,
iversen2023a_con,iversen2023a_m01,6,12,5703,1239.9,
iversen2023a_con,iversen2023a_m01,13,12,5421,1209.3,
iversen2023a_con,iversen2023a_m02,0,12,90.4,20.98,
iversen2023a_con,iversen2023a_m02,6,12,89.2,20.64,
iversen2023a_con,iversen2023a_m02,13,12,90.8,20.3,
iversen2023a_con,iversen2023a_m03,0,12,26.1,4.84,
iversen2023a_con,iversen2023a_m03,6,12,26.5,4.83,
iversen2023a_con,iversen2023a_m03,13,12,26.3,4.82,
iversen2023a_con,iversen2023a_m04,0,12,32.6,4.74,
iversen2023a_con,iversen2023a_m04,6,12,32.7,4.64,
iversen2023a_con,iversen2023a_m04,13,12,32.3,4.53,
iversen2023a_con,iversen2023a_m05,0,12,19.7,5.24,
iversen2023a_con,iversen2023a_m05,6,12,19.1,5.16,
iversen2023a_con,iversen2023a_m05,13,12,19.5,5.08,
castellano2013a_fail,castellano2013a_m01,0,16,191,,9.3
castellano2013a_fail,castellano2013a_m01,11,16,249,,10.2
castellano2013a_fail,castellano2013a_m02,0,16,35.7,,1.43
castellano2013a_fail,castellano2013a_m02,11,16,39,,1.53
castellano2013a_fail,castellano2013a_m03,0,16,28.6,,1.23
castellano2013a_fail,castellano2013a_m03,11,16,30.9,,1.22
castellano2013a_fail,castellano2013a_m04,0,16,32.9,,1
castellano2013a_fail,castellano2013a_m04,11,16,35.9,,1.08
castellano2013a_fail,castellano2013a_m05,0,16,53.6,,1.21
castellano2013a_fail,castellano2013a_m05,11,16,55,,1.17
castellano2013a_rir3,castellano2013a_m01,0,10,177,,12.9
castellano2013a_rir3,castellano2013a_m01,11,10,229,,12.4
castellano2013a_rir3,castellano2013a_m02,0,10,37.7,,1.74
castellano2013a_rir3,castellano2013a_m02,11,10,41.3,,1.79
castellano2013a_rir3,castellano2013a_m03,0,10,27.1,,1.6
castellano2013a_rir3,castellano2013a_m03,11,10,29.4,,1.72
castellano2013a_rir3,castellano2013a_m04,0,10,32.6,,1.43
castellano2013a_rir3,castellano2013a_m04,11,10,34.3,,1.48
castellano2013a_rir3,castellano2013a_m05,0,10,53,,1.4
castellano2013a_rir3,castellano2013a_m05,11,10,53.4,,1.38
oduya2021a_2set,oduya2021a_m01,0,11,6890,1320.2,
oduya2021a_2set,oduya2021a_m01,6,11,7147,1376.8,
oduya2021a_2set,oduya2021a_m01,12,11,7426,1433.3,
oduya2021a_2set,oduya2021a_m02,0,11,288,71.4,
oduya2021a_2set,oduya2021a_m02,6,11,332,70.4,
oduya2021a_2set,oduya2021a_m02,12,11,354,69.4,
oduya2021a_2set,oduya2021a_m03,0,11,143.7,32.1,
oduya2021a_2set,oduya2021a_m03,6,11,150.4,32.91,
oduya2021a_2set,oduya2021a_m03,12,11,158.9,33.71,
oduya2021a_2set,oduya2021a_m04,0,11,267.9,50.52,
oduya2021a_2set,oduya2021a_m04,6,11,272.3,52.35,
oduya2021a_2set,oduya2021a_m04,12,11,283.8,54.18,
oduya2021a_2set,oduya2021a_m05,0,11,58.3,6.3,
oduya2021a_2set,oduya2021a_m05,6,11,59.6,6.52,
oduya2021a_2set,oduya2021a_m05,12,11,60.6,6.74,
oduya2021a_2set,oduya2021a_m06,0,11,13.3,5.41,
oduya2021a_2set,oduya2021a_m06,6,11,13.1,5.55,
oduya2021a_2set,oduya2021a_m06,12,11,13.8,5.7,
oduya2021a_2set,oduya2021a_m07,0,11,17.6,5.03,
oduya2021a_2set,oduya2021a_m07,6,11,18.5,5.07,
oduya2021a_2set,oduya2021a_m07,12,11,20,5.11,
oduya2021a_5set,oduya2021a_m01,0,14,6580,1573.7,
oduya2021a_5set,oduya2021a_m01,6,14,6864,1647.1,
oduya2021a_5set,oduya2021a_m01,12,14,6820,1720.4,
oduya2021a_5set,oduya2021a_m02,0,14,313,62.6,
oduya2021a_5set,oduya2021a_m02,6,14,345,63.3,
oduya2021a_5set,oduya2021a_m02,12,14,383,64.1,
oduya2021a_5set,oduya2021a_m03,0,14,139.2,30.77,
oduya2021a_5set,oduya2021a_m03,6,14,144.2,30.82,
oduya2021a_5set,oduya2021a_m03,12,14,154.9,30.86,
oduya2021a_5set,oduya2021a_m04,0,14,267.3,46.41,
oduya2021a_5set,oduya2021a_m04,6,14,293,48.19,
oduya2021a_5set,oduya2021a_m04,12,14,308.3,49.98,
oduya2021a_5set,oduya2021a_m05,0,14,59.5,8.09,
oduya2021a_5set,oduya2021a_m05,6,14,58.4,8.48,
oduya2021a_5set,oduya2021a_m05,12,14,60.9,8.87,
oduya2021a_5set,oduya2021a_m06,0,14,16.5,4.6,
oduya2021a_5set,oduya2021a_m06,6,14,16.2,4.76,
oduya2021a_5set,oduya2021a_m06,12,14,15.9,4.92,
oduya2021a_5set,oduya2021a_m07,0,14,18.5,4.82,
oduya2021a_5set,oduya2021a_m07,6,14,19.4,4.89,
oduya2021a_5set,oduya2021a_m07,12,14,20.8,4.97,
oduya2021a_con,oduya2021a_m01,0,14,7812,1425.3,
oduya2021a_con,oduya2021a_m01,6,14,7808,1489.1,
oduya2021a_con,oduya2021a_m01,12,14,8032,1553,
oduya2021a_con,oduya2021a_m02,0,14,271,58.6,
oduya2021a_con,oduya2021a_m02,6,14,262,60.1,
oduya2021a_con,oduya2021a_m02,12,14,265,61.7,
oduya2021a_con,oduya2021a_m03,0,14,142.9,28.92,
oduya2021a_con,oduya2021a_m03,6,14,143.3,29.86,
oduya2021a_con,oduya2021a_m03,12,14,140.9,30.8,
oduya2021a_con,oduya2021a_m04,0,14,259.9,55.01,
oduya2021a_con,oduya2021a_m04,6,14,259.4,54.61,
oduya2021a_con,oduya2021a_m04,12,14,270.6,54.21,
oduya2021a_con,oduya2021a_m05,0,14,59.7,6.3,
oduya2021a_con,oduya2021a_m05,6,14,58.9,6.6,
oduya2021a_con,oduya2021a_m05,12,14,58.6,6.89,
oduya2021a_con,oduya2021a_m06,0,14,12.4,4.77,
oduya2021a_con,oduya2021a_m06,6,14,11.9,4.69,
oduya2021a_con,oduya2021a_m06,12,14,11.6,4.61,
oduya2021a_con,oduya2021a_m07,0,14,16.3,5.87,
oduya2021a_con,oduya2021a_m07,6,14,17.7,6.03,
oduya2021a_con,oduya2021a_m07,12,14,17.5,6.18,
abernathy2017a_1set,abernathy2017a_m01,0,20,284,70.8,
abernathy2017a_1set,abernathy2017a_m01,7,20,299,72.9,
abernathy2017a_1set,abernathy2017a_m01,15,20,317,74.9,
abernathy2017a_1set,abernathy2017a_m02,0,20,22.2,2.97,
abernathy2017a_1set,abernathy2017a_m02,7,20,22.3,2.93,
abernathy2017a_1set,abernathy2017a_m02,15,20,22.7,2.89,
abernathy2017a_2set,abernathy2017a_m01,0,15,308,65.8,
abernathy2017a_2set,abernathy2017a_m01,7,15,338,66.6,
abernathy2017a_2set,abernathy2017a_m01,15,15,355,67.4,
abernathy2017a_2set,abernathy2017a_m02,0,15,22.5,2.65,
abernathy2017a_2set,abernathy2017a_m02,7,15,22.5,2.76,
abernathy2017a_2set,abernathy2017a_m02,15,15,22.5,2.86,
abernathy2017a_4set,abernathy2017a_m01,0,17,291,62.9,
abernathy2017a_4set,abernathy2017a_m01,7,17,319,62.5,
abernathy2017a_4set,abernathy2017a_m01,15,17,334,62.2,
abernathy2017a_4set,abernathy2017a_m02,0,17,22.6,3.02,
abernathy2017a_4set,abernathy2017a_m02,7,17,22.9,3.07,
abernathy2017a_4set,abernathy2017a_m02,15,17,23,3.12,
abernathy2017a_6set,abernathy2017a_m01,0,11,276,59.9,
abernathy2017a_6set,abernathy2017a_m01,7,11,294,62.4,
abernathy2017a_6set,abernathy2017a_m01,15,11,322,64.9,
abernathy2017a_6set,abernathy2017a_m02,0,11,23.4,2.97,
abernathy2017a_6set,abernathy2017a_m02,7,11,23.4,2.9,
abernathy2017a_6set,abernathy2017a_m02,15,11,23.3,2.82,
duarte2015a_2set,duarte2015a_m01,0,8,30.6,4.88,
duarte2015a_2set,duarte2015a_m01,15,8,31.5,4.77,
duarte2015a_2set,duarte2015a_m02,0,8,26.2,3.93,
duarte2015a_2set,duarte2015a_m02,15,8,26.7,4.14,
duarte2015a_2set,duarte2015a_m03,0,8,71.2,15.19,
duarte2015a_2set,duarte2015a_m03,15,8,78.4,15.45,
duarte2015a_5set,duarte2015a_m01,0,13,32.1,5.14,
duarte2015a_5set,duarte2015a_m01,15,13,33.1,5.5,
duarte2015a_5set,duarte2015a_m02,0,13,26.6,3.42,
duarte2015a_5set,duarte2015a_m02,15,13,27.6,3.75,
duarte2015a_5set,duarte2015a_m03,0,13,71,12.71,
duarte2015a_5set,duarte2015a_m03,15,13,86,12.34,
duarte2015a_con,duarte2015a_m01,0,13,32.8,3.88,
duarte2015a_con,duarte2015a_m01,15,13,32.6,3.83,
duarte2015a_con,duarte2015a_m02,0,13,27.1,3.54,
duarte2015a_con,duarte2015a_m02,15,13,27.4,3.88,
duarte2015a_con,duarte2015a_m03,0,13,71.5,14.2,
duarte2015a_con,duarte2015a_m03,15,13,72.2,13.91,
delacroix2022a_hl,delacroix2022a_m01,0,15,174.4,33.1,
delacroix2022a_hl,delacroix2022a_m01,17,15,209.8,33.49,
delacroix2022a_hl,delacroix2022a_m02,0,15,20.8,2.95,
delacroix2022a_hl,delacroix2022a_m02,17,15,23,3.23,
delacroix2022a_hl,delacroix2022a_m03,0,15,51,6.7,
delacroix2022a_hl,delacroix2022a_m03,17,15,52.4,7.12,
delacroix2022a_ml,delacroix2022a_m01,0,16,186.1,33.77,
delacroix2022a_ml,delacroix2022a_m01,17,16,218.8,33.14,
delacroix2022a_ml,delacroix2022a_m02,0,16,20.5,2.93,
delacroix2022a_ml,delacroix2022a_m02,17,16,21.6,2.92,
delacroix2022a_ml,delacroix2022a_m03,0,16,50.3,6.13,
delacroix2022a_ml,delacroix2022a_m03,17,16,51.1,5.89,
delacroix2022a_ll,delacroix2022a_m01,0,12,168,38.63,
delacroix2022a_ll,delacroix2022a_m01,17,12,199.4,37.52,
delacroix2022a_ll,delacroix2022a_m02,0,12,20.4,3.01,
delacroix2022a_ll,delacroix2022a_m02,17,12,21,3.24,
delacroix2022a_ll,delacroix2022a_m03,0,12,53.2,6.38,
delacroix2022a_ll,delacroix2022a_m03,17,12,53.7,6.76,
uribe2020a_hl,uribe2020a_m01,0,21,31.2,4.23,
uribe2020a_hl,uribe2020a_m01,6,21,31.4,4.36,
uribe2020a_hl,uribe2020a_m01,13,21,31.3,4.49,
uribe2020a_hl,uribe2020a_m02,0,21,5619,1314.6,
uribe2020a_hl,uribe2020a_m02,6,21,5713,1323.2,
uribe2020a_hl,uribe2020a_m02,13,21,5918,1331.8,
uribe2020a_hl,uribe2020a_m03,0,21,163,42.4,
uribe2020a_hl,uribe2020a_m03,6,21,181,44,
uribe2020a_hl,uribe2020a_m03,13,21,189,45.7,
uribe2020a_hl,uribe2020a_m04,0,21,19.8,3.15,
uribe2020a_hl,uribe2020a_m04,6,21,19.7,3.1,
uribe2020a_hl,uribe2020a_m04,13,21,20.1,3.05,
uribe2020a_hl,uribe2020a_m05,0,21,59.1,6.69,
uribe2020a_hl,uribe2020a_m05,6,21,59.4,6.84,
uribe2020a_hl,uribe2020a_m05,13,21,60.1,7,
uribe2020a_hl,uribe2020a_m06,0,21,12.6,4.92,
uribe2020a_hl,uribe2020a_m06,6,21,12.4,5.01,
uribe2020a_hl,uribe2020a_m06,13,21,11.6,5.1,
uribe2020a_ll,uribe2020a_m01,0,12,31.9,4.02,
uribe2020a_ll,uribe2020a_m01,6,12,32.5,3.99,
uribe2020a_ll,uribe2020a_m01,13,12,33.3,3.96,
uribe2020a_ll,uribe2020a_m02,0,12,5379,1065.2,
uribe2020a_ll,uribe2020a_m02,6,12,5589,1062.5,
uribe2020a_ll,uribe2020a_m02,13,12,5605,1059.7,
uribe2020a_ll,uribe2020a_m03,0,12,193,38.1,
uribe2020a_ll,uribe2020a_m03,6,12,212,39.8,
uribe2020a_ll,uribe2020a_m03,13,12,229,41.5,
uribe2020a_ll,uribe2020a_m04,0,12,20.1,3.58,
uribe2020a_ll,uribe2020a_m04,6,12,20.7,3.52,
uribe2020a_ll,uribe2020a_m04,13,12,21.4,3.45,
uribe2020a_ll,uribe2020a_m05,0,12,57.7,6.5,
uribe2020a_ll,uribe2020a_m05,6,12,60.3,6.34,
uribe2020a_ll,uribe2020a_m05,13,12,59.2,6.19,
uribe2020a_ll,uribe2020a_m06,0,12,14.9,4.85,
uribe2020a_ll,uribe2020a_m06,6,12,15.7,5.02,
uribe2020a_ll,uribe2020a_m06,13,12,14.8,5.19,
hartley2008a_fail,hartley2008a_m01,0,22,150,33.7,
hartley2008a_fail,hartley2008a_m01,17,22,179,32.3,
hartley2008a_fail,hartley2008a_m02,0,22,26.9,3.33,
hartley2008a_fail,hartley2008a_m02,17,22,28.5,3.66,
hartley2008a_fail,hartley2008a_m03,0,22,31.8,5,
hartley2008a_fail,hartley2008a_m03,17,22,33.2,5.22,
hartley2008a_fail,hartley2008a_m04,0,22,41.8,5.77,
hartley2008a_fail,hartley2008a_m04,17,22,43.5,5.79,
hartley2008a_fail,hartley2008a_m05,0,22,18.4,6.58,
hartley2008a_fail,hartley2008a_m05,17,22,16.9,6.66,
hartley2008a_rir3,hartley2008a_m01,0,12,149,31.4,
hartley2008a_rir3,hartley2008a_m01,17,12,178,34.3,
hartley2008a_rir3,hartley2008a_m02,0,12,27.3,3.79,
hartley2008a_rir3,hartley2008a_m02,17,12,28.1,3.88,
hartley2008a_rir3,hartley2008a_m03,0,12,32.1,4.82,
hartley2008a_rir3,hartley2008a_m03,17,12,32.4,4.94,
hartley2008a_rir3,hartley2008a_m04,0,12,39.9,5.18,
hartley2008a_rir3,hartley2008a_m04,17,12,41.3,5.2,
hartley2008a_rir3,hartley2008a_m05,0,12,17.9,8.03,
hartley2008a_rir3,hartley2008a_m05,17,12,17.4,7.75,
takeda2020a_2set,takeda2020a_m01,0,13,6854,1296.1,
takeda2020a_2set,takeda2020a_m01,10,13,6686,1238.1,
takeda2020a_2set,takeda2020a_m02,0,13,267.6,59.41,
takeda2020a_2set,takeda2020a_m02,10,13,298,64.22,
takeda2020a_2set,takeda2020a_m03,0,13,152.3,28.54,
takeda2020a_2set,takeda2020a_m03,10,13,164.2,28.75,
takeda2020a_5set,takeda2020a_m01,0,15,6540,1410.1,
takeda2020a_5set,takeda2020a_m01,10,15,6376,1503,
takeda2020a_5set,takeda2020a_m02,0,15,261.2,52.68,
takeda2020a_5set,takeda2020a_m02,10,15,302.4,51.97,
takeda2020a_5set,takeda2020a_m03,0,15,135.2,27.51,
takeda2020a_5set,takeda2020a_m03,10,15,160.4,29.03,
ishikawa2013a_f1,ishikawa2013a_m01,0,12,46.5,5.55,
ishikawa2013a_f1,ishikawa2013a_m01,13,12,47.9,5.38,
ishikawa2013a_f1,ishikawa2013a_m02,0,12,135.2,29.32,
ishikawa2013a_f1,ishikawa2013a_m02,13,12,168.2,28.1,
ishikawa2013a_f1,ishikawa2013a_m03,0,12,31,4.28,
ishikawa2013a_f1,ishikawa2013a_m03,13,12,32.9,4.59,
ishikawa2013a_f3,ishikawa2013a_m01,0,15,43.2,5.35,
ishikawa2013a_f3,ishikawa2013a_m01,13,15,45.1,5.6,
ishikawa2013a_f3,ishikawa2013a_m02,0,15,138.2,31.99,
ishikawa2013a_f3,ishikawa2013a_m02,13,15,169.1,31.53,
