arm_id,study_id,arm_label,is_nontraining_control_group,used_bfr,load_adjustments,progression,n,n_dropouts,proportion_male,age_m,age_sd,age_se,body_mass_m,body_mass_sd,body_mass_se,height_m,height_sd,height_se,bmi_m,bmi_sd,bmi_se,training_exp_m,training_exp_sd,training_exp_se
takeda2007a_2set,takeda2007a,2SET,No,No,Yes,Unclear,18,,1,23.9,2.9,,81.4,11.6,,178.9,6.1,,,,,4.7,,
takeda2007a_5set,takeda2007a,5SET,No,No,Yes,Yes,9,,1,22.1,3.8,,77.8,7.2,,174.6,6.9,,,,,4.9,2.4,
takeda2007a_con,takeda2007a,CON,Yes,No,,,8,,1,23.6,3.1,,76,11.8,,176,7.1,,,,,4.3,0.9,
haugen2001a_f1,haugen2001a,F1,No,No,No,Yes,18,0,0,23.2,2.1,,61.7,10.3,,167.8,6.3,,,,,2.7,,
haugen2001a_f3,haugen2001a,F3,No,No,Yes,Yes,22,2,0,23.1,3.5,,63.4,11.3,,163.5,7.3,,,,,1.6,1.7,
haugen2001b_1set,haugen2001b,1SET,No,No,Yes,Yes,22,1,0.37,23.9,2.9,,66.9,10.6,,174.3,6.3,,,,,0,,
haugen2001b_3set,haugen2001b,3SET,No,No,Yes,Yes,22,1,0.52,23.4,3.3,,73.6,7.8,,170.7,5.3,,,,,0,,
haugen2001b_5set,haugen2001b,5SET,No,No,Yes,Yes,17,3,0.62,24.8,1.5,,77,8,,168.9,6.1,,,,,0,,
yilmaz2005a_f1,yilmaz2005a,F1,No,No,Yes,No,19,2,1,25.2,1.8,,79.6,9,,178.2,6.9,,25.1,3.1,,0,,
yilmaz2005a_f3,yilmaz2005a,F3,No,No,Yes,Yes,18,1,1,25.1,3.2,,82,9.3,,180.2,6.9,,25.3,2.5,,0,,
ekberg2024a_hl,ekberg2024a,HL,No,No,Yes,Unclear,18,2,0,20.9,3.2,,56.8,7.5,,162.5,6.1,,21.5,3.2,,0,,
ekberg2024a_ll,ekberg2024a,LL,No,No,Yes,No,18,2,0,21.4,1.8,,61,8.4,,167.5,6.6,,21.7,2.9,,0,,
ekberg2024a_con,ekberg2024a,CON,Yes,No,,,17,1,0,26.2,3,,63.9,10.3,,167.7,6.2,,22.7,2.6,,0,,
petrakis2007a_2set,petrakis2007a,2SET,No,No,Yes,No,11,,0.37,21.8,2.9,,71.2,7.3,,171,7.6,,,,,5,,
petrakis2007a_5set,petrakis2007a,5SET,No,No,Yes,No,11,,0.37,21.8,1.9,,71.2,9,,171,5.5,,,,,5,2.2,
ekberg2010a_hl,ekberg2010a,HL,No,No,No,No,16,2,0.61,25.2,2.9,,74.3,11.1,,170.9,7,,,,,4.3,1.7,
ekberg2010a_ll,ekberg2010a,LL,No,No,Yes,Yes,8,2,0.57,22.5,2.7,,69.6,8.5,,167.7,7.5,,,,,2.4,,
laurent2024a_fail,laurent2024a,FAIL,No,No,Yes,No,12,2,1,24.7,3.1,,81.5,10.7,,179.6,7.3,,,,,0,,
laurent2024a_rir3,laurent2024a,RIR3,No,No,Yes,Yes,8,1,1,23.4,2.1,,78,10.6,,176.6,5.3,,,,,0,,
yilmaz1999a_2set,yilmaz1999a,2SET,No,No,Yes,Yes,13,2,0,21.8,3,,62.1,7.5,,167.5,6.8,,22.1,3.1,,3,1.1,
yilmaz1999a_5set,yilmaz1999a,5SET,No,No,Yes,Yes,10,2,0,21,2.1,,68.4,8.6,,165.8,7.4,,24.9,2.3,,3.2,,
rosales2018a_fail,rosales2018a,FAIL,No,No,Yes,Yes,18,1,0.41,21.6,2.1,,70.1,7.6,,171.4,7.3,,,,,0,,
rosales2018a_rir1,rosales2018a,RIR1,No,No,Yes,Yes,13,1,0.44,21,2.2,,75.1,11.6,,168.8,6.9,,,,,0,,
rosales2018a_rir3,rosales2018a,RIR3,No,No,Yes,Yes,20,1,0.6,21.4,1.7,,71.8,12,,170.3,5.9,,,,,0,,
rosales2018a_con,rosales2018a,CON,Yes,No,,,22,3,0.46,22.1,2.6,,66.7,9.5,,170.5,5.1,,,,,0,,
lindqvist2010a_hl,lindqvist2010a,HL,No,No,No,Yes,9,1,0.38,70.8,2.3,,72.8,9.9,,172.6,5,,,,,0,,
lindqvist2010a_ll,lindqvist2010a,LL,No,No,No,No,19,0,0.43,66.8,2,,70.4,7.4,,172.8,7.6,,,,,0,,
lindqvist2010a_con,lindqvist2010a,CON,Yes,No,,,9,4,0.56,66.9,4.1,,71.4,10.6,,171.4,6.6,,,,,0,,
quinlan2011a_2set,quinlan2011a,2SET,No,No,Yes,Yes,17,1,1,25,3.5,,71.1,11.6,,178.7,7.1,,22.3,2.6,,0,,
quinlan2011a_5set,quinlan2011a,5SET,No,No,Yes,Unclear,17,2,1,24.5,2.2,,79.9,10.2,,178.8,5.1,,25,2.5,,0,,
quinlan2011a_con,quinlan2011a,CON,Yes,No,,,20,2,1,21.1,2.5,,78.9,10.3,,178.8,5.3,,24.7,2.2,,0,,
delacroix2018a_1set,delacroix2018a,1SET,No,No,Yes,Yes,20,2,1,23.3,2.9,,83.4,10.7,,178.5,7.9,,26.2,2.5,,3.3,1.2,
delacroix2018a_3set,delacroix2018a,3SET,No,No,Yes,No,19,1,1,24.1,2.8,,77.4,9.3,,180.5,7.8,,23.7,3.1,,4.6,,
delacroix2018a_5set,delacroix2018a,5SET,No,No,Yes,No,22,0,1,22.4,2.7,,78.7,9.1,,180,6.1,,24.3,3,,1.8,2.1,
moreau2010a_fail,moreau2010a,FAIL,No,No,Yes,Yes,19,,0.4,23.9,3,,74.5,10.7,,172.2,5.4,,,,,0,,
moreau2010a_rir3,moreau2010a,RIR3,No,No,Yes,Yes,19,,0.4,23.9,3.1,,74.5,8.1,,172.2,5.8,,,,,0,,
jansen2011a_fail,jansen2011a,FAIL,No,No,No,Yes,13,1,1,24.4,2.6,,79.5,9.6,,176.3,7.7,,,,,1.7,,
jansen2011a_rir3,jansen2011a,RIR3,No,No,No,Yes,14,1,1,25.4,3.7,,82.1,11.6,,177.9,5.5,,,,,3.8,1.1,
jansen2011a_con,jansen2011a,CON,Yes,No,,,14,1,1,21,3.5,,81.6,7.7,,179.5,5,,,,,2.1,1.2,
varga2015a_hl,varga2015a,HL,No,No,Yes,Unclear,12,2,1,24.9,1.7,,78.9,11.3,,181,5.6,,24.1,2.5,,5.2,2.5,
varga2015a_ll,varga2015a,LL,No,No,No,No,17,1,1,25.9,2.3,,84.1,10.4,,180.2,7.3,,25.9,3.1,,2.2,,
fairbanks2004a_f1,fairbanks2004a,F1,No,No,Yes,Yes,19,3,0,24.4,3.6,,64.5,8,,162.4,6,,,,,2.6,,
fairbanks2004a_f2,fairbanks2004a,F2,No,No,Yes,Yes,22,0,0,23.5,3.8,,59.7,8.2,,163.6,6.3,,,,,3.6,,
fairbanks2004a_f3,fairbanks2004a,F3,No,No,Yes,Yes,12,1,0,25,1.7,,58.1,8.6,,162.7,6.3,,,,,2.7,,
fairbanks2004a_con,fairbanks2004a,CON,Yes,No,,,17,0,0,23.9,2.1,,60.4,8,,164.8,6.6,,,,,5.5,,
jansen2021a_fail,jansen2021a,FAIL,No,No,Yes,Unclear,18,0,1,23.4,3.4,,79.4,10.4,,179.3,6.4,,,,,0,,
jansen2021a_rir3,jansen2021a,RIR3,No,No,Yes,No,13,2,1,22.1,3.7,,81.1,11.3,,176.9,5,,,,,0,,
gallardo2024a_f1,gallardo2024a,F1,No,No,Yes,Unclear,20,0,0.49,69,3.6,,72.9,10.2,,168.7,6.6,,,,,0,,
gallardo2024a_f3,gallardo2024a,F3,No,No,Yes,No,21,2,0.48,68.2,3.2,,71.3,10.8,,166.8,6,,,,,0,,
mwangi2026a_2set,mwangi2026a,2SET,No,No,Yes,Yes,11,0,1,25.3,2.1,,77,11.1,,180.1,7.5,,23.7,2.8,,4.2,,
mwangi2026a_5set,mwangi2026a,5SET,No,No,Yes,Yes,9,0,1,24.7,2.2,,84.8,11.2,,176.4,6.8,,27.3,3.2,,6,,
petrakis2016a_hl,petrakis2016a,HL,No,No,Yes,No,21,2,1,21.6,3.1,,81.2,10.4,,180.8,7.5,,,,,0,,
petrakis2016a_ml,petrakis2016a,ML,No,No,Yes,Yes,10,1,1,21.2,2.9,,79.1,9.4,,179.3,7.9,,,,,0,,
petrakis2016a_ll,petrakis2016a,LL,No,No,Yes,No,13,0,1,20.5,2.2,,77.2,7,,181.4,5.1,,,,,0,,
petrakis2016a_con,petrakis2016a,CON,Yes,No,,,19,2,1,21.9,3.6,,79.8,11.4,,179.1,7.6,,,,,0,,
ekberg2013b_fail,ekberg2013b,FAIL,No,No,Yes,Yes,18,1,0.54,67.6,,,69.5,,1.7,169.5,,1.18,24.2,1.8,,0,,
ekberg2013b_rir3,ekberg2013b,RIR3,No,No,Yes,No,17,2,0.61,68.2,,,69.7,,2.05,169.1,,1.87,24.4,2.4,,0,,
ekberg2013b_con,ekberg2013b,CON,Yes,No,,,9,5,0.38,68.4,,,65,,3.39,170.5,,1.85,22.4,2.2,,0,,
brennan2019a_hl,brennan2019a,HL,No,No,Yes,Yes,15,0,1,23.9,3.3,,77.7,8.5,,179.5,7.1,,,,,0,,
brennan2019a_ll,brennan2019a,LL,No,No,Yes,Yes,21,1,1,22,3,,80.7,11.6,,179.2,6.3,,,,,0,,
haugen2014a_hl,haugen2014a,HL,No,No,Yes,Yes,16,,0,22.5,1.7,,60.1,7.7,,169.6,6,,,,,4.4,,
haugen2014a_ll,haugen2014a,LL,No,No,Yes,Yes,16,,0,22.5,1.7,,60.1,9.8,,169.6,7.5,,,,,4.4,2.1,
petrakis2018a_fail,petrakis2018a,FAIL,No,No,Yes,Unclear,14,2,0.54,24.2,,,71.8,,2.83,169.4,,1.47,,,,4.3,,
petrakis2018a_rir3,petrakis2018a,RIR3,No,No,Yes,Yes,18,4,0.46,25.8,,,69.9,,1.72,171.7,,1.87,,,,2,,
delacroix2014a_f1,delacroix2014a,F1,No,No,Yes,Yes,19,,0.64,19.7,3,,70.1,7.2,,173.3,6.2,,,,,0,,
delacroix2014a_f3,delacroix2014a,F3,No,No,Yes,Unclear,19,,0.44,22.4,1.8,,75.4,10.7,,169.3,7.9,,,,,0,,
rahimi2020a_f1,rahimi2020a,F1,No,No,Yes,Yes,18,2,0.52,21.5,3.2,,66.8,7.3,,176.3,6.2,,,,,5.9,,
rahimi2020a_f3,rahimi2020a,F3,No,No,No,Yes,13,2,0.55,24.9,2.5,,70.2,9.7,,173.8,7.7,,,,,2.7,,
kaur2025a_2set,kaur2025a,2SET,No,No,No,Yes,16,,1,22.1,2.2,,77.1,8.6,,177.7,5.1,,,,,5.4,,
kaur2025a_5set,kaur2025a,5SET,No,No,Yes,No,12,,1,20.4,3.4,,79.9,7.8,,175.9,5.4,,,,,4.4,1.6,
yilmaz2003a_2set,yilmaz2003a,2SET,No,No,Yes,Yes,10,2,1,24.6,2,,82.7,11.8,,177.3,5.7,,,,,0,,
yilmaz2003a_5set,yilmaz2003a,5SET,No,No,Yes,Yes,19,1,1,24.9,2.6,,79,10.8,,178.7,6,,,,,0,,
abernathy2011a_hl,abernathy2011a,HL,No,No,Yes,No,13,,0.42,21.1,1.6,,70.5,7.3,,170.7,6.6,,,,,3.2,,
abernathy2011a_ml,abernathy2011a,ML,No,No,Yes,Yes,18,,0.52,24.1,1.6,,71.4,9.7,,174.6,5.3,,,,,2.6,,
abernathy2011a_ll,abernathy2011a,LL,No,No,Yes,Unclear,9,,0.43,21.1,3.7,,67.6,9.6,,171.1,7.5,,,,,4.4,,
