arm_id,week,testing_week_type,training_week_type
ekberg2013a_fail,11,No Testing,Training
ekberg2013a_fail,12,No Testing,Reduced Training
ekberg2013a_fail,13,No Testing,Training
ekberg2013a_fail,14,Post-Intervention,No Training
ekberg2013a_rir3,-1,Pre-Baseline,No Training
ekberg2013a_rir3,0,Baseline,No Training
ekberg2013a_rir3,1,No Testing,Training
ekberg2013a_rir3,2,No Testing,Training
ekberg2013a_rir3,3,No Testing,Training
ekberg2013a_rir3,4,No Testing,Training
ekberg2013a_rir3,5,No Testing,Training
ekberg2013a_rir3,6,No Testing,Training
ekberg2013a_rir3,7,No Testing,Training
ekberg2013a_rir3,8,No Testing,Training
ekberg2013a_rir3,9,No Testing,Training
ekberg2013a_rir3,10,No Testing,Training
ekberg2013a_rir3,11,No Testing,Training
ekberg2013a_rir3,12,No Testing,Reduced Training
ekberg2013a_rir3,13,No Testing,Training
ekberg2013a_rir3,14,Post-Intervention,No Training
ekberg2013a_con,-1,Pre-Baseline,No Training
ekberg2013a_con,0,Baseline,No Training
ekberg2013a_con,1,No Testing,Non-Training Control
ekberg2013a_con,2,No Testing,Non-Training Control
ekberg2013a_con,3,No Testing,Non-Training Control
ekberg2013a_con,4,No Testing,Non-Training Control
ekberg2013a_con,5,No Testing,Non-Training Control
ekberg2013a_con,6,No Testing,Non-Training Control
ekberg2013a_con,7,No Testing,Non-Training Control
ekberg2013a_con,8,No Testing,Non-Training Control
ekberg2013a_con,9,No Testing,Non-Training Control
ekberg2013a_con,10,No Testing,Non-Training Control
ekberg2013a_con,11,No Testing,Non-Training Control
ekberg2013a_con,12,No Testing,Non-Training Control
ekberg2013a_con,13,No Testing,Non-Training Control
ekberg2013a_con,14,Post-Intervention,No Training
iversen2023a_1set,0,Baseline,No Training
iversen2023a_1set,1,No Testing,Training
iversen2023a_1set,2,No Testing,Training
iversen2023a_1set,3,No Testing,Training
iversen2023a_1set,4,No Testing,Training
iversen2023a_1set,5,No Testing,Training
iversen2023a_1set,6,Mid-Intervention,Training
iversen2023a_1set,7,No Testing,Training
iversen2023a_1set,8,No Testing,Training
iversen2023a_1set,9,No Testing,Training
iversen2023a_1set,10,No Testing,Training
iversen2023a_1set,11,No Testing,Training
iversen2023a_1set,12,No Testing,Training
iversen2023a_1set,13,Post-Intervention,No Training
iversen2023a_2set,0,Baseline,No Training
iversen2023a_2set,1,No Testing,Training
iversen2023a_2set,2,No Testing,Training
iversen2023a_2set,3,No Testing,Training
iversen2023a_2set,4,No Testing,Training
iversen2023a_2set,5,No Testing,Training
iversen2023a_2set,6,Mid-Intervention,Training
iversen2023a_2set,7,No Testing,Training
iversen2023a_2set,8,No Testing,Training
iversen2023a_2set,9,No Testing,Training
iversen2023a_2set,10,No Testing,Training
iversen2023a_2set,11,No Testing,Training
iversen2023a_2set,12,No Testing,Training
iversen2023a_2set,13,Post-Intervention,No Training
iversen2023a_4set,0,Baseline,No Training
iversen2023a_4set,1,No Testing,Training
iversen2023a_4set,2,No Testing,Training
iversen2023a_4set,3,No Testing,Training
iversen2023a_4set,4,No Testing,Training
iversen2023a_4set,5,No Testing,Training
iversen2023a_4set,6,Mid-Intervention,Training
iversen2023a_4set,7,No Testing,Training
iversen2023a_4set,8,No Testing,Training
iversen2023a_4set,9,No Testing,Training
iversen2023a_4set,10,No Testing,Training
iversen2023a_4set,11,No Testing,Training
iversen2023a_4set,12,No Testing,Training
iversen2023a_4set,13,Post-Intervention,No Training
iversen2023a_6set,0,Baseline,No Training
iversen2023a_6set,1,No Testing,Training
iversen2023a_6set,2,No Testing,Training
iversen2023a_6set,3,No Testing,Training
iversen2023a_6set,4,No Testing,Training
iversen2023a_6set,5,No Testing,Training
iversen2023a_6set,6,Mid-Intervention,Training
iversen2023a_6set,7,No Testing,Training
iversen2023a_6set,8,No Testing,Training
iversen2023a_6set,9,No Testing,Training
iversen2023a_6set,10,No Testing,Training
iversen2023a_6set,11,No Testing,Training
iversen2023a_6set,12,No Testing,Training
iversen2023a_6set,13,Post-Intervention,No Training
iversen2023a_con,0,Baseline,No Training
iversen2023a_con,1,No Testing,Non-Training Control
iversen2023a_con,2,No Testing,Non-Training Control
iversen2023a_con,3,No Testing,Non-Training Control
iversen2023a_con,4,No Testing,Non-Training Control
iversen2023a_con,5,No Testing,Non-Training Control
iversen2023a_con,6,Mid-Intervention,Non-Training Control
iversen2023a_con,7,No Testing,Non-Training Control
iversen2023a_con,8,No Testing,Non-Training Control
iversen2023a_con,9,No Testing,Non-Training Control
iversen2023a_con,10,No Testing,Non-Training Control
iversen2023a_con,11,No Testing,Non-Training Control
iversen2023a_con,12,No Testing,Non-Training Control
iversen2023a_con,13,Post-Intervention,No Training
castellano2013a_fail,0,Baseline,No Training
castellano2013a_fail,1,No Testing,Training
castellano2013a_fail,2,No Testing,Training
castellano2013a_fail,3,No Testing,Training
castellano2013a_fail,4,No Testing,Training
castellano2013a_fail,5,No Testing,Training
castellano2013a_fail,6,No Testing,Training
castellano2013a_fail,7,No Testing,Training
castellano2013a_fail,8,No Testing,Training
castellano2013a_fail,9,No Testing,Training
castellano2013a_fail,10,No Testing,Training
castellano2013a_fail,11,Post-Intervention,No Training
castellano2013a_rir3,0,Baseline,No Training
castellano2013a_rir3,1,No Testing,Training
castellano2013a_rir3,2,No Testing,Training
castellano2013a_rir3,3,No Testing,Training
castellano2013a_rir3,4,No Testing,Training
castellano2013a_rir3,5,No Testing,Training
castellano2013a_rir3,6,No Testing,Training
castellano2013a_rir3,7,No Testing,Training
castellano2013a_rir3,8,No Testing,Training
castellano2013a_rir3,9,No Testing,Training
castellano2013a_rir3,10,No Testing,Training
castellano2013a_rir3,11,Post-Intervention,No Training
oduya2021a_2set,-1,Pre-Baseline,No Training
oduya2021a_2set,0,Baseline,No Training
oduya2021a_2set,1,No Testing,Training
oduya2021a_2set,2,No Testing,Training
oduya2021a_2set,3,No Testing,Training
oduya2021a_2set,4,No Testing,Training
oduya2021a_2set,5,No Testing,Training
oduya2021a_2set,6,Mid-Intervention,Training
oduya2021a_2set,7,No Testing,Training
oduya2021a_2set,8,No Testing,Training
oduya2021a_2set,9,No Testing,Training
oduya2021a_2set,10,No Testing,Training
oduya2021a_2set,11,No Testing,Training
oduya2021a_2set,12,Post-Intervention,No Training
oduya2021a_5set,-1,Pre-Baseline,No Training
oduya2021a_5set,0,Baseline,No Training
oduya2021a_5set,1,No Testing,Training
oduya2021a_5set,2,No Testing,Training
oduya2021a_5set,3,No Testing,Training
oduya2021a_5set,4,No Testing,Training
oduya2021a_5set,5,No Testing,Training
oduya2021a_5set,6,Mid-Intervention,Training
oduya2021a_5set,7,No Testing,Training
oduya2021a_5set,8,No Testing,Training
oduya2021a_5set,9,No Testing,Training
oduya2021a_5set,10,No Testing,Training
oduya2021a_5set,11,No Testing,Training
oduya2021a_5set,12,Post-Intervention,No Training
oduya2021a_con,-1,Pre-Baseline,No Training
oduya2021a_con,0,Baseline,No Training
oduya2021a_con,1,No Testing,Non-Training Control
oduya2021a_con,2,No Testing,Non-Training Control
oduya2021a_con,3,No Testing,Non-Training Control
oduya2021a_con,4,No Testing,Non-Training Control
oduya2021a_con,5,No Testing,Non-Training Control
oduya2021a_con,6,Mid-Intervention,Non-Training Control
oduya2021a_con,7,No Testing,Non-Training Control
oduya2021a_con,8,No Testing,Non-Training Control
oduya2021a_con,9,No Testing,Non-Training Control
oduya2021a_con,10,No Testing,Non-Training Control
oduya2021a_con,11,No Testing,Non-Training Control
oduya2021a_con,12,Post-Intervention,No Training
abernathy2017a_1set,0,Baseline,No Training
abernathy2017a_1set,1,No Testing,Training
abernathy2017a_1set,2,No Testing,Training
abernathy2017a_1set,3,No Testing,Training
abernathy2017a_1set,4,No Testing,Training
abernathy2017a_1set,5,No Testing,Training
abernathy2017a_1set,6,No Testing,Training
abernathy2017a_1set,7,Mid-Intervention,Training
abernathy2017a_1set,8,No Testing,No Training
abernathy2017a_1set,9,No Testing,Training
abernathy2017a_1set,10,No Testing,Training
abernathy2017a_1set,11,No Testing,Training
abernathy2017a_1set,12,No Testing,Training
abernathy2017a_1set,13,No Testing,Training
abernathy2017a_1set,14,No Testing,Training
abernathy2017a_1set,15,Post-Intervention,No Training
abernathy2017a_2set,0,Baseline,No Training
abernathy2017a_2set,1,No Testing,Training
abernathy2017a_2set,2,No Testing,Training
abernathy2017a_2set,3,No Testing,Training
abernathy2017a_2set,4,No Testing,Training
abernathy2017a_2set,5,No Testing,Training
abernathy2017a_2set,6,No Testing,Training
abernathy2017a_2set,7,Mid-Intervention,Training
abernathy2017a_2set,8,No Testing,No Training
abernathy2017a_2set,9,No Testing,Training
abernathy2017a_2set,10,No Testing,Training
abernathy2017a_2set,11,No Testing,Training
abernathy2017a_2set,12,No Testing,Training
abernathy2017a_2set,13,No Testing,Training
abernathy2017a_2set,14,No Testing,Training
abernathy2017a_2set,15,Post-Intervention,No Training
abernathy2017a_4set,0,Baseline,No Training
abernathy2017a_4set,1,No Testing,Training
abernathy2017a_4set,2,No Testing,Training
abernathy2017a_4set,3,No Testing,Training
abernathy2017a_4set,4,No Testing,Training
abernathy2017a_4set,5,No Testing,Training
abernathy2017a_4set,6,No Testing,Training
abernathy2017a_4set,7,Mid-Intervention,Training
abernathy2017a_4set,8,No Testing,No Training
abernathy2017a_4set,9,No Testing,Training
abernathy2017a_4set,10,No Testing,Training
abernathy2017a_4set,11,No Testing,Training
abernathy2017a_4set,12,No Testing,Training
abernathy2017a_4set,13,No Testing,Training
abernathy2017a_4set,14,No Testing,Training
abernathy2017a_4set,15,Post-Intervention,No Training
abernathy2017a_6set,0,Baseline,No Training
abernathy2017a_6set,1,No Testing,Training
abernathy2017a_6set,2,No Testing,Training
abernathy2017a_6set,3,No Testing,Training
abernathy2017a_6set,4,No Testing,Training
abernathy2017a_6set,5,No Testing,Training
abernathy2017a_6set,6,No Testing,Training
abernathy2017a_6set,7,Mid-Intervention,Training
abernathy2017a_6set,8,No Testing,No Training
abernathy2017a_6set,9,No Testing,Training
abernathy2017a_6set,10,No Testing,Training
abernathy2017a_6set,11,No Testing,Training
abernathy2017a_6set,12,No Testing,Training
abernathy2017a_6set,13,No Testing,Training
abernathy2017a_6set,14,No Testing,Training
abernathy2017a_6set,15,Post-Intervention,No Training
duarte2015a_2set,0,Baseline,No Training
duarte2015a_2set,1,No Testing,Training
duarte2015a_2set,2,No Testing,Training
duarte2015a_2set,3,No Testing,Training
duarte2015a_2set,4,No Testing,Training
duarte2015a_2set,5,No Testing,Training
duarte2015a_2set,6,No Testing,Training
duarte2015a_2set,7,No Testing,Training
duarte2015a_2set,8,No Testing,Training
duarte2015a_2set,9,No Testing,Training
duarte2015a_2set,10,No Testing,Training
duarte2015a_2set,11,No Testing,Training
duarte2015a_2set,12,No Testing,Training
duarte2015a_2set,13,No Testing,Reduced Training
duarte2015a_2set,14,No Testing,Training
duarte2015a_2set,15,Post-Intervention,No Training
duarte2015a_5set,0,Baseline,No Training
duarte2015a_5set,1,No Testing,Training
duarte2015a_5set,2,No Testing,Training
duarte2015a_5set,3,No Testing,Training
duarte2015a_5set,4,No Testing,Training
duarte2015a_5set,5,No Testing,Training
duarte2015a_5set,6,No Testing,Training
duarte2015a_5set,7,No Testing,Training
duarte2015a_5set,8,No Testing,Training
duarte2015a_5set,9,No Testing,Training
duarte2015a_5set,10,No Testing,Training
duarte2015a_5set,11,No Testing,Training
duarte2015a_5set,12,No Testing,Training
duarte2015a_5set,13,No Testing,Reduced Training
duarte2015a_5set,14,No Testing,Training
duarte2015a_5set,15,Post-Intervention,No Training
duarte2015a_con,0,Baseline,No Training
duarte2015a_con,1,No Testing,Non-Training Control
duarte2015a_con,2,No Testing,Non-Training Control
duarte2015a_con,3,No Testing,Non-Training Control
duarte2015a_con,4,No Testing,Non-Training Control
duarte2015a_con,5,No Testing,Non-Training Control
duarte2015a_con,6,No Testing,Non-Training Control
duarte2015a_con,7,No Testing,Non-Training Control
duarte2015a_con,8,No Testing,Non-Training Control
duarte2015a_con,9,No Testing,Non-Training Control
duarte2015a_con,10,No Testing,Non-Training Control
duarte2015a_con,11,No Testing,Non-Training Control
duarte2015a_con,12,No Testing,Non-Training Control
duarte2015a_con,13,No Testing,Non-Training Control
duarte2015a_con,14,No Testing,Non-Training Control
duarte2015a_con,15,Post-Intervention,No Training
delacroix2022a_hl,0,Baseline,No Training
delacroix2022a_hl,1,No Testing,Training
delacroix2022a_hl,2,No Testing,Training
delacroix2022a_hl,3,No Testing,Training
delacroix2022a_hl,4,No Testing,Training
delacroix2022a_hl,5,No Testing,Training
delacroix2022a_hl,6,No Testing,Training
delacroix2022a_hl,7,No Testing,Training
delacroix2022a_hl,8,No Testing,Training
delacroix2022a_hl,9,No Testing,No Training
delacroix2022a_hl,10,No Testing,Training
delacroix2022a_hl,11,No Testing,Training
delacroix2022a_hl,12,No Testing,Training
delacroix2022a_hl,13,No Testing,Training
delacroix2022a_hl,14,No Testing,Training
delacroix2022a_hl,15,No Testing,Training
delacroix2022a_hl,16,No Testing,Training
delacroix2022a_hl,17,Post-Intervention,No Training
delacroix2022a_ml,0,Baseline,No Training
delacroix2022a_ml,1,No Testing,Training
delacroix2022a_ml,2,No Testing,Training
delacroix2022a_ml,3,No Testing,Training
delacroix2022a_ml,4,No Testing,Training
delacroix2022a_ml,5,No Testing,Training
delacroix2022a_ml,6,No Testing,Training
delacroix2022a_ml,7,No Testing,Training
delacroix2022a_ml,8,No Testing,Training
delacroix2022a_ml,9,No Testing,No Training
delacroix2022a_ml,10,No Testing,Training
delacroix2022a_ml,11,No Testing,Training
delacroix2022a_ml,12,No Testing,Training
delacroix2022a_ml,13,No Testing,Training
delacroix2022a_ml,14,No Testing,Training
delacroix2022a_ml,15,No Testing,Training
delacroix2022a_ml,16,No Testing,Training
delacroix2022a_ml,17,Post-Intervention,No Training
delacroix2022a_ll,0,Baseline,No Training
delacroix2022a_ll,1,No Testing,Training
delacroix2022a_ll,2,No Testing,Training
delacroix2022a_ll,3,No Testing,Training
delacroix2022a_ll,4,No Testing,Training
delacroix2022a_ll,5,No Testing,Training
delacroix2022a_ll,6,No Testing,Training
delacroix2022a_ll,7,No Testing,Training
delacroix2022a_ll,8,No Testing,Training
delacroix2022a_ll,9,No Testing,No Training
delacroix2022a_ll,10,No Testing,Training
delacroix2022a_ll,11,No Testing,Training
delacroix2022a_ll,12,No Testing,Training
delacroix2022a_ll,13,No Testing,Training
delacroix2022a_ll,14,No Testing,Training
delacroix2022a_ll,15,No Testing,Training
delacroix2022a_ll,16,No Testing,Training
delacroix2022a_ll,17,Post-Intervention,No Training
uribe2020a_hl,-1,Pre-Baseline,No Training
uribe2020a_hl,0,Baseline,No Training
uribe2020a_hl,1,No Testing,Training
uribe2020a_hl,2,No Testing,Training
uribe2020a_hl,3,No Testing,Training
uribe2020a_hl,4,No Testing,Training
uribe2020a_hl,5,No Testing,Training
uribe2020a_hl,6,Mid-Intervention,Training
uribe2020a_hl,7,No Testing,Training
uribe2020a_hl,8,No Testing,Training
uribe2020a_hl,9,No Testing,Training
uribe2020a_hl,10,No Testing,Training
uribe2020a_hl,11,No Testing,Training
uribe2020a_hl,12,No Testing,Training
uribe2020a_hl,13,Post-Intervention,No Training
uribe2020a_ll,-1,Pre-Baseline,No Training
uribe2020a_ll,0,Baseline,No Training
uribe2020a_ll,1,No Testing,Training
uribe2020a_ll,2,No Testing,Training
uribe2020a_ll,3,No Testing,Training
uribe2020a_ll,4,No Testing,Training
uribe2020a_ll,5,No Testing,Training
uribe2020a_ll,6,Mid-Intervention,Training
uribe2020a_ll,7,No Testing,Training
uribe2020a_ll,8,No Testing,Training
uribe2020a_ll,9,No Testing,Training
uribe2020a_ll,10,No Testing,Training
uribe2020a_ll,11,No Testing,Training
uribe2020a_ll,12,No Testing,Training
uribe2020a_ll,13,Post-Intervention,No Training
hartley2008a_fail,-1,Pre-Baseline,No Training
hartley2008a_fail,0,Baseline,No Training
hartley2008a_fail,1,No Testing,Training
hartley2008a_fail,2,No Testing,Training
hartley2008a_fail,3,No Testing,Training
hartley2008a_fail,4,No Testing,Training
hartley2008a_fail,5,No Testing,Training
hartley2008a_fail,6,No Testing,Training
hartley2008a_fail,7,No Testing,Training
hartley2008a_fail,8,No Testing,Training
hartley2008a_fail,9,No Testing,Training
hartley2008a_fail,10,No Testing,Training
hartley2008a_fail,11,No Testing,Training
hartley2008a_fail,12,No Testing,Training
hartley2008a_fail,13,No Testing,Training
hartley2008a_fail,14,No Testing,Training
hartley2008a_fail,15,No Testing,Training
hartley2008a_fail,16,No Testing,Training
hartley2008a_fail,17,Post-Intervention,No Training
hartley2008a_rir3,-1,Pre-Baseline,No Training
hartley2008a_rir3,0,Baseline,No Training
hartley2008a_rir3,1,No Testing,Training
hartley2008a_rir3,2,No Testing,Training
hartley2008a_rir3,3,No Testing,Training
hartley2008a_rir3,4,No Testing,Training
hartley2008a_rir3,5,No Testing,Training
hartley2008a_rir3,6,No Testing,Training
hartley2008a_rir3,7,No Testing,Training
hartley2008a_rir3,8,No Testing,Training
hartley2008a_rir3,9,No Testing,Training
hartley2008a_rir3,10,No Testing,Training
hartley2008a_rir3,11,No Testing,Training
hartley2008a_rir3,12,No Testing,Training
hartley2008a_rir3,13,No Testing,Training
hartley2008a_rir3,14,No Testing,Training
hartley2008a_rir3,15,No Testing,Training
hartley2008a_rir3,16,No Testing,Training
hartley2008a_rir3,17,Post-Intervention,No Training
takeda2020a_2set,0,Baseline,No Training
takeda2020a_2set,1,No Testing,Training
takeda2020a_2set,2,No Testing,Training
takeda2020a_2set,3,No Testing,Training
takeda2020a_2set,4,No Testing,Training
takeda2020a_2set,5,No Testing,Training
takeda2020a_2set,6,No Testing,Training
takeda2020a_2set,7,No Testing,Training
takeda2020a_2set,8,No Testing,Training
takeda2020a_2set,9,No Testing,Training
takeda2020a_2set,10,Post-Intervention,No Training
takeda2020a_5set,0,Baseline,No Training
takeda2020a_5set,1,No Testing,Training
takeda2020a_5set,2,No Testing,Training
takeda2020a_5set,3,No Testing,Training
takeda2020a_5set,4,No Testing,Training
takeda2020a_5set,5,No Testing,Training
takeda2020a_5set,6,No Testing,Training
takeda2020a_5set,7,No Testing,Training
takeda2020a_5set,8,No Testing,Training
takeda2020a_5set,9,No Testing,Training
takeda2020a_5set,10,Post-Intervention,No Training
ishikawa2013a_f1,0,Baseline,No Training
ishikawa2013a_f1,1,No Testing,Training
ishikawa2013a_f1,2,No Testing,Training
ishikawa2013a_f1,3,No Testing,Training
ishikawa2013a_f1,4,No Testing,Training
ishikawa2013a_f1,5,No Testing,Training
ishikawa2013a_f1,6,No Testing,Training
ishikawa2013a_f1,7,No Testing,Training
ishikawa2013a_f1,8,No Testing,Training
ishikawa2013a_f1,9,No Testing,Training
ishikawa2013a_f1,10,No Testing,Training
ishikawa2013a_f1,11,No Testing,Training
ishikawa2013a_f1,12,No Testing,Training
ishikawa2013a_f1,13,Post-Intervention,No Training
ishikawa2013a_f3,0,Baseline,No Training
ishikawa2013a_f3,1,No Testing,Training
ishikawa2013a_f3,2,No Testing,Training
ishikawa2013a_f3,3,No Testing,Training
ishikawa2013a_f3,4,No Testing,Training
ishikawa2013a_f3,5,No Testing,Training
ishikawa2013a_f3,6,No Testing,Training
ishikawa2013a_f3,7,No Testing,Training
ishikawa2013a_f3,8,No Testing,Training
ishikawa2013a_f3,9,No Testing,Training
ishikawa2013a_f3,10,No Testing,Training
ishikawa2013a_f3,11,No Testing,Training
ishikawa2013a_f3,12,No Testing,Training
ishikawa2013a_f3,13,Post-Intervention,No Training
takeda2012a_fail,-1,Pre-Baseline,No Training
takeda2012a_fail,0,Baseline,No Training
takeda2012a_fail,1,No Testing,Training
takeda2012a_fail,2,No Testing,Training
takeda2012a_fail,3,No Testing,Training
takeda2012a_fail,4,No Testing,Training
takeda2012a_fail,5,No Testing,Training
takeda2012a_fail,6,No Testing,Training
takeda2012a_fail,7,No Testing,Training
takeda2012a_fail,8,No Testing,Training
takeda2012a_fail,9,No Testing,Training
takeda2012a_fail,10,No Testing,Training
takeda2012a_fail,11,No Testing,Training
takeda2012a_fail,12,No Testing,Training
takeda2012a_fail,13,No Testing,Training
takeda2012a_fail,14,Post-Intervention,No Training
takeda2012a_rir3,-1,Pre-Baseline,No Training
takeda2012a_rir3,0,Baseline,No Training
takeda2012a_rir3,1,No Testing,Training
takeda2012a_rir3,2,No Testing,Training
takeda2012a_rir3,3,No Testing,Training
takeda2012a_rir3,4,No Testing,Training
takeda2012a_rir3,5,No Testing,Training
takeda2012a_rir3,6,No Testing,Training
takeda2012a_rir3,7,No Testing,Training
takeda2012a_rir3,8,No Testing,Training
takeda2012a_rir3,9,No Testing,Training
takeda2012a_rir3,10,No Testing,Training
takeda2012a_rir3,11,No Testing,Training
takeda2012a_rir3,12,No Testing,Training
takeda2012a_rir3,13,No Testing,Training
takeda2012a_rir3,14,Post-Intervention,No Training
takeda2012a_con,-1,Pre-Baseline,No Training
takeda2012a_con,0,Baseline,No Training
takeda2012a_con,1,No Testing,Non-Training Control
takeda2012a_con,2,No Testing,Non-Training Control
